ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Informed Consent ,Gender,Gender_4_TEXT,Age,Ethnicity,Hispanic or Latino,Education,Employment,Income,Residency-State,Residency-Community,Residency-Community_4_TEXT,Political Ideology _1,Party Affiliation _1,Voting,G2-Timer_First Click,G2-Timer_Last Click,G2-Timer_Page Submit,G2-Timer_Click Count,g2-field-study,g2-field-work,g2q2_1,g2q2_2,g2q3a,g2q3b,g2q3c,g2p4_1,g2p4_2,G1-Timer_First Click,G1-Timer_Last Click,G1-Timer_Page Submit,G1-Timer_Click Count,G1_control,G1_republican,G1_democratic,G1_Q2_allgroups,G1_Q3_allgroups,G1_Q4_allgroups,G3-Timer_First Click,G3-Timer_Last Click,G3-Timer_Page Submit,G3-Timer_Click Count,g3q1_1,g3q1_2,g3q1_3,g3q3,g3q2-attention check,G5_timer_First Click,G5_timer_Last Click,G5_timer_Page Submit,G5_timer_Click Count,G5q1_trust_headline,G5q2_successful,G5q3_trust_platforms_1,G5q3_trust_platforms_2,G5q3_trust_platforms_3,G5q3_trust_platforms_4,G5q3_trust_platforms_5,G7_timer_First Click,G7_timer_Last Click,G7_timer_Page Submit,G7_timer_Click Count,G7Q1,G7Q2,G7Q3,G7Q4,G13-Timer_First Click,G13-Timer_Last Click,G13-Timer_Page Submit,G13-Timer_Click Count,G13_DV,G14_timer_First Click,G14_timer_Last Click,G14_timer_Page Submit,G14_timer_Click Count,G14_Axis1_IOcooperat,G14_Axis1_sovereignt,G14_Axis2_democracy,G14_Axis2_strongman,G14_Axis2_majority,G14_Axis2_constituti,Overall_ManipulCheck,Overall_ManipulCheck_DO,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,state,Create New Field or Choose From Dropdown...,FL_76_DO,Group2_Gender&AcademicCapability-FirstHalf_DO,Group1_CampaignFinance_DO,Group3_ImmigrantsOrigins_DO,Group5_MistrustSocialMedia_DO,Group7_JunkfoodAds_DO,Group13_AITrust_DO,Group14_Authoritarianism&AmericanRights_DO
R_1XY95gwB1MTJEBP,39.7912,-74.9291,anonymous,EN,0.899999976,Yes,Female,,1969,White,Not Hispanic or Latino,Bachelor’s degree,Other,"$75,000-$99,999",New Jersey,Suburban,,Moderate,Lean Republican,Republican candidate,8.373,36.162,37.101,8,Accounting ,None ,Excellent,Excellent,,Natural brilliance,,Excellent,Excellent,9.85,42.166,43.476,9,Support,,,Both parties receive similar amounts,"1,000,000",No,19.678,40.528,41.624,8,To a very great extent,To a very great extent,To a very great extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,15.114,52.709,53.657,14,Strongly Distrust,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,2.439,55.452,56.148,9,Yes,Moderate,I'd probably say yes.,Neither Agree nor Disagree,4.619,56.441,57.066,7,Human alone,28.367,85.213,86.124,18,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,A case heard and decided by the International Criminal Court,Trust of social media platforms|Evaluating a student's academic performance|A case heard and decided by the International Criminal Court|Campaign finance or donation limit,6819a13c-6d47-f6bd-316c-b2d68c1f0b0e,55,2,13,1,1,6,2,1,8093,,,Group7_JunkfoodAds|Group14_Authoritarianism&AmericanRights|Group13_AITrust|Group3_ImmigrantsOrigins|Group1_CampaignFinance|Group5_MistrustSocialMedia,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_instagram|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_BlogWrit|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3pXhjDmuYXW0qQk,43.9633,-91.2562,anonymous,EN,0.600000024,Yes,Female,,199q,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,High school diploma or GED,Working full-time,"$75,000-$99,999",Wisconsin,Urban,,Very Concservative,Strong Republican,Republican candidate,4.874,50.262,52.019,9,None,Manufacturing,Good,Good,Natural brilliance,,,Average,Good,11.585,29.43,30.401,7,Support,,,"Democrats, by a lot",500000,No,21.588,55.194,56.584,8,To a somewhat great extent,To a great extent,To a somewhat great extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,1.446,55.642,56.448,25,Can't say,Very Unlikely,Unlikely,Unlikely,Very Unlikely,Very Unlikely,Unlikely,28.288,60.495,61.284,10,Yes,Moderate,I'd politely pass.,Disagree,23.134,29.18,29.86,4,Human alone,0.78,60.263,61.176,16,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,A case heard and decided by the International Criminal Court,Evaluating a student's academic performance|Trust of social media platforms|A case heard and decided by the International Criminal Court|Campaign finance or donation limit,6819a15d-07fc-eddf-b835-1ccdf5258e4e,33,2,16,12,1,2,5,2,54603,,,Group7_JunkfoodAds|Group1_CampaignFinance|Group5_MistrustSocialMedia|Group13_AITrust|Group14_Authoritarianism&AmericanRights|Group3_ImmigrantsOrigins,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_instagram|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_Collab|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3SiqChHpSr1e9mF,35.0304,-91.9504,anonymous,EN,1,Yes,Male,,1995,White,Not Hispanic or Latino,"Some college, but no degree",Working full-time,"$100,000-$149,999",Arkansas,Rural,,Moderate,Republican,Republican candidate,2.464,64.664,66.781,16,Creative arts,Construction ,Excellent,Good,,,Natural brilliance,Excellent,Good,26.325,92.992,94.383,13,,Neither support or oppose,,Both parties receive similar amounts,1000000000,Yes,29.632,94.622,95.557,14,To a great extent,To a moderate extent,To a somewhat great extent,"Yes, I have close family members who are immigrants.,Yes, I have friends who are immigrants.,Yes, I have coworkers or acquaintances who are immigrants.",An immigrant who is applying for permanent residency in the United States,19.004,41,41.778,12,Distrust,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Unlikely,Very Unlikely,10.328,65.75,66.287,23,Yes,Healthy,I'd probably say yes.,Agree,17.473,23.729,24.914,2,AI assisted with Human,22.544,106.185,108.64,23,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,A case heard and decided by the International Criminal Court,Campaign finance or donation limit|A case heard and decided by the International Criminal Court|Evaluating a student's academic performance|Trust of social media platforms,6819a0bf-4d47-9aa6-a19f-381ab39072a7,40,1,20,1,1,4,5,3,72176,,,Group13_AITrust|Group1_CampaignFinance|Group7_JunkfoodAds|Group3_ImmigrantsOrigins|Group5_MistrustSocialMedia|Group14_Authoritarianism&AmericanRights,g2-field-study|g2-field-work|g2q1c|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_control|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_SongColl|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3gp4Nw8S8FSEWSv,32.9247,-96.8917,anonymous,EN,0.899999976,Yes,Female,,1965,White,Not Hispanic or Latino,High school diploma or GED,Working full-time,"$25,000-$49,999",Texas,Suburban,,Prefer not to answer,Lean Republican,I didn't vote in the last election,2.502,63.543,64.558,15,None,Retail ,Excellent,Excellent,,Strong work ethic,,Excellent,Excellent,11.502,126.132,127.76,10,,,Oppose,"Democrats, by a lot",100000,No,16.869,103.465,104.554,8,To a great extent,To a great extent,To a great extent,"Yes, I have friends who are immigrants.",An immigrant who is applying for permanent residency in the United States,3.093,96.532,97.796,45,Can't say,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,2.1,29.969,31.125,11,Yes,Moderate,I'd grab it instantly!,Neither Agree nor Disagree,26.92,34.201,35.256,2,Collaboration between AI and Human (50-50),29.041,122.994,123.936,14,Disagree,Disagree,Neutral,Neutral,Agree,Agree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Evaluating a student's academic performance|Campaign finance or donation limit|Trust of social media platforms,6819a03c-640e-6e2c-bd4a-88a8c27fff4a,59,2,6,1,1,2,4,3,75090,,,Group7_JunkfoodAds|Group5_MistrustSocialMedia|Group1_CampaignFinance|Group3_ImmigrantsOrigins|Group13_AITrust|Group14_Authoritarianism&AmericanRights,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_democratic|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_snapchat|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_SongColl|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_7fj0XNPWZMYYJfr,40.0334,-83.1582,anonymous,EN,0.899999976,Yes,Female,,1958,White,Not Hispanic or Latino,High school diploma or GED,Retired,"$50,000-$74,999",Ohio,Suburban,,Very Concservative,Strong Republican,Republican candidate,1.999,45.613,53.747,6,retired,retired,Excellent,Excellent,Natural brilliance,,,Good,Average,10.72,34.377,35.309,4,,Support,,"Democrats, by a lot","$50,000 ",Yes,18.815,38.426,41.504,4,To a moderate extent,To a somewhat great extent,To a great extent,"Yes, I have friends who are immigrants.",An immigrant who is applying for permanent residency in the United States,20.345,32.376,33.495,8,Distrust,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,36.924,53.74,54.906,4,Yes,Unhealthy,I'd probably say yes.,Agree,25.045,25.445,27.593,2,Human alone,4.349,34.346,35.546,7,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Evaluating a student's academic performance|Trust of social media platforms|Campaign finance or donation limit,6819a1ab-6a05-6ac3-3696-833e593e3e62,66,2,5,1,1,2,5,2,43026,,,Group5_MistrustSocialMedia|Group13_AITrust|Group1_CampaignFinance|Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds|Group3_ImmigrantsOrigins,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_tiktok|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_3|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3WGwtPadRmiwOv3,33.508,-112.0995,anonymous,EN,0.699999988,Yes,Female,,1954,Black or African American,Not Hispanic or Latino,"Some college, but no degree",Retired,"Less than $25,000",Arizona,Urban,,Very Liberal,Strong Democrat,Democratic candidate,6.7,96.714,97.886,17,Healthcare ,Medical billing ,Excellent,Excellent,,Natural brilliance,,Excellent,Excellent,12.904,89.905,91.786,15,,,Neither support or oppose,Both parties receive similar amounts,1000000000,No,1.609,85.605,86.363,24,To a great extent,To a great extent,To a great extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,17.717,76.896,78.095,23,Can't say,Can't say,Unlikely,Uncertain/Undecided,Uncertain/Undecided,Uncertain/Undecided,Very Unlikely,6.801,40.188,41.159,15,Yes,Healthy,I'd probably say yes.,Disagree,15.151,26.096,26.891,9,Human alone,15.701,101.151,102.021,30,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Trust of social media platforms,A case heard and decided by the International Criminal Court|Evaluating a student's academic performance|Campaign finance or donation limit|Trust of social media platforms,6819a051-4525-9d49-79c9-e069128262b6,70,2,4,2,1,4,8,4,85040,,,Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds|Group1_CampaignFinance|Group5_MistrustSocialMedia|Group13_AITrust|Group3_ImmigrantsOrigins,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_democratic|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_twitter|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_3|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_7BswbvxTUflo7ax,28.0167,-82.1359,anonymous,EN,0.899999976,Yes,Female,,1951,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$100,000-$149,999",Florida,Suburban,,Somewhat Conservative,Lean Republican,Republican candidate,1.685,35.725,36.775,10,Education ,Retired,Excellent,Excellent,,Natural brilliance,,Excellent,Excellent,18.594,52.123,53.319,7,,Support,,Both parties receive similar amounts,100,No,19.785,45.521,46.748,9,To a somewhat great extent,To a somewhat great extent,To a somewhat great extent,"Yes, I have close family members who are immigrants.",An immigrant who is applying for permanent residency in the United States,20.319,59.597,60.929,12,Can't say,Very Unlikely,Very Unlikely,Uncertain/Undecided,Unlikely,Very Unlikely,Uncertain/Undecided,6.365,65.833,66.934,10,Yes,Healthy,I'd politely pass.,Strongly Agree,4.795,49.634,50.709,10,Human alone,8.223,42.871,44.938,11,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,A case heard and decided by the International Criminal Court,Campaign finance or donation limit|Evaluating a student's academic performance|Trust of social media platforms|A case heard and decided by the International Criminal Court,6819a16b-485f-e48a-0191-22b02d5dd94e,73,2,19,1,1,7,2,3,33563,,,Group7_JunkfoodAds|Group1_CampaignFinance|Group14_Authoritarianism&AmericanRights|Group13_AITrust|Group3_ImmigrantsOrigins|Group5_MistrustSocialMedia,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_twitter|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_BlogWrit|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_3rGqIQprSZjKJa4,41.2045,-73.1988,anonymous,EN,0.899999976,Yes,Female,,1970,White,Not Hispanic or Latino,Bachelor’s degree,Working full-time,"$50,000-$74,999",Connecticut,Rural,,Very Liberal,Democrat,Democratic candidate,2.707,35.29,36.03,7,Psychology ,Business owner,Excellent,Excellent,,,Natural brilliance,Good,Excellent,5.218,20.938,21.442,7,Support,,,Both parties receive similar amounts,1000,No,21.455,38.938,39.594,8,To a moderate extent,To a moderate extent,To a somewhat great extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,4.038,28.22,28.942,14,Distrust,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,50.756,208.406,209.066,13,Yes,Moderate,I'd grab it instantly!,Strongly Agree,2.281,7.616,17.632,4,Collaboration between AI and Human (50-50),5.863,33.547,34.165,13,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,A case heard and decided by the International Criminal Court,Trust of social media platforms|A case heard and decided by the International Criminal Court|Campaign finance or donation limit|Evaluating a student's academic performance,6819a09c-4c43-adb7-0aa4-853cd8d66490,55,2,11,1,1,6,1,1,6076,,,Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds|Group13_AITrust|Group3_ImmigrantsOrigins|Group1_CampaignFinance|Group5_MistrustSocialMedia,g2-field-study|g2-field-work|g2q1c|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-2x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_tiktok|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_1|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_7fQafh1mETq7MRl,39.8367,-88.9428,anonymous,EN,0.600000024,Yes,Male,,1978,White,Not Hispanic or Latino,High school diploma or GED,Other,"$50,000-$74,999",Illinois,Urban,,Very Concservative,Strong Republican,Republican candidate,1.016,33.425,34.17,9,None,Disabled ,Excellent,Excellent,,Natural brilliance,,Excellent,Poor,7.263,52.103,52.78,12,Support,,,"Democrats, by a lot",1000000,No,6.017,67.4,68.201,10,To a somewhat great extent,To a somewhat great extent,To a somewhat great extent,"Yes, I have friends who are immigrants.",An immigrant who is applying for permanent residency in the United States,7.099,52.283,52.947,16,Trust,Can't say,Very Likely,Uncertain/Undecided,Likely,Uncertain/Undecided,Uncertain/Undecided,1.761,55.803,56.309,8,Yes,Moderate,I'd probably say yes.,Neither Agree nor Disagree,4.195,33.4,34.378,9,Collaboration between AI and Human (50-50),9.501,56,56.8,12,Disagree,Strongly Agree,Agree,Neutral,Agree,Disagree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Evaluating a student's academic performance|Campaign finance or donation limit|Trust of social media platforms,6819a17e-028e-2aaf-8c03-4b5946bfc548,46,1,6,1,1,2,5,2,62521,,,Group14_Authoritarianism&AmericanRights|Group13_AITrust|Group3_ImmigrantsOrigins|Group7_JunkfoodAds|Group1_CampaignFinance|Group5_MistrustSocialMedia,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_facebook|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_2|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_14oR6FaXD7gcAL8,33.8838,-118.1261,anonymous,EN,1,Yes,Female,,1949,Black or African American,Not Hispanic or Latino,"Some college, but no degree",Retired,"$50,000-$74,999",California,Suburban,,Somewhat Liberal,Democrat,Democratic candidate,12.911,48.262,49.341,5,Education,Secretarial Support,Excellent,Excellent,,Natural brilliance,,Good,Good,47.421,63.557,65.03,4,,Support,,"Republicans, by a lot",10000,Yes,19.531,30.923,32.177,5,To a somewhat great extent,To a somewhat great extent,To a somewhat great extent,"Yes, I have friends who are immigrants.",An immigrant who is applying for permanent residency in the United States,55.837,66.469,67.622,7,Distrust,Unlikely,Very Unlikely,Very Unlikely,Unlikely,Very Unlikely,Very Unlikely,3.278,36.037,37.423,6,Yes,Moderate,I'd think about it.,Disagree,34.903,34.903,36.224,1,Human assisted by AI,37.041,60.081,63.091,8,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Evaluating a student's academic performance|Campaign finance or donation limit|Trust of social media platforms,6819a0a5-8855-caa3-4d15-6ce0083820eb,76,2,12,2,1,5,8,4,90706,,,Group3_ImmigrantsOrigins|Group5_MistrustSocialMedia|Group13_AITrust|Group7_JunkfoodAds|Group1_CampaignFinance|Group14_Authoritarianism&AmericanRights,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-control|g3q1|g3q3|g3q2-attention check,G5_timer|G5_twitter|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_SongColl|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_5sWNVwFEfNeLUYx,36.2695,-95.8547,anonymous,EN,0.899999976,Yes,Female,,1955,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"Less than $25,000",Oklahoma,Suburban,,Very Concservative,Strong Republican,Republican candidate,3.452,60.688,62.728,7,Retired various advanced degrees ,Retiref,Good,Excellent,Natural brilliance,,,Good,Poor,4.8,30.008,49.054,8,,,Oppose,"Democrats, by a lot",1E+29,No,5.694,55.356,61.539,9,To a very great extent,To a small extent,To a small extent,"Yes, I have friends who are immigrants.,Yes, I have coworkers or acquaintances who are immigrants.",An immigrant who is applying for permanent residency in the United States,5.686,39.812,40.475,15,Strongly Distrust,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,8.07,63.389,65.41,12,Yes,Moderate,I'd probably say yes.,Agree,2.317,31.97,33.372,6,Human alone,6.587,48.127,52.553,17,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,A case heard and decided by the International Criminal Court,Campaign finance or donation limit|Trust of social media platforms|A case heard and decided by the International Criminal Court|Evaluating a student's academic performance,6819a1a3-f670-04fb-296a-4676328eb7fc,69,2,3,1,1,7,2,3,74055,,,Group1_CampaignFinance|Group7_JunkfoodAds|Group13_AITrust|Group14_Authoritarianism&AmericanRights|Group3_ImmigrantsOrigins|Group5_MistrustSocialMedia,g2-field-study|g2-field-work|g2q1a|g2q2|G2-Timer,G1-Timer|G1_democratic|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x2|g3q1|g3q3|g3q2-attention check,G5_timer|G5_twitter|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_LowRisk_Collab|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_71ynNFzpWojAeGa,41.8835,-87.6305,anonymous,EN,1,Yes,Male,,1951,White,Not Hispanic or Latino,Associates or technical degree,Retired,"$25,000-$49,999",Michigan,Rural,,Somewhat Liberal,Strong Democrat,Democratic candidate,6.491,72.9,73.86,14,None,None,Excellent,Excellent,,Natural brilliance,,Excellent,Excellent,20.846,105.425,106.746,10,,Support,,"Republicans, by a lot",10000,No,19.481,67.378,68.36,11,To a moderate extent,To a moderate extent,To a small extent,"No, I do not personally know any immigrants.",An immigrant who is applying for permanent residency in the United States,20.671,93.938,95.088,18,Distrust,Can't say,Very Unlikely,Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,21.085,87.383,88.317,13,Yes,Moderate,I'd think about it.,Neither Agree nor Disagree,20.592,61.637,62.966,5,Human assisted by AI,11.282,71.08,72.151,15,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Campaign finance or donation limit|Trust of social media platforms|Evaluating a student's academic performance,6819a07d-aa90-b481-72d1-9774d3144d9e,74,1,4,1,1,5,1,2,49633,,,Group5_MistrustSocialMedia|Group1_CampaignFinance|Group7_JunkfoodAds|Group3_ImmigrantsOrigins|Group13_AITrust|Group14_Authoritarianism&AmericanRights,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_republican|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-control|g3q1|g3q3|g3q2-attention check,G5_timer|G5_facebook|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_treatment_ads|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_3|G13_DV,G14_timer|G14_Control|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
R_1gYK30Z34aj3nMZ,45.0123,-93.3447,anonymous,EN,0.600000024,Yes,Female,,1956,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working part-time,"$75,000-$99,999",Minnesota,Urban,,Very Liberal,Democrat,Democratic candidate,1.506,48.754,49.658,27,English,Writing,Excellent,Excellent,,Natural brilliance,,Excellent,Excellent,4.562,29.832,31.3,16,Support,,,Both parties receive similar amounts,1000000,Yes,2.142,33.026,33.559,23,To a very great extent,To a great extent,To a very great extent,"Yes, I have coworkers or acquaintances who are immigrants.",An immigrant who is applying for permanent residency in the United States,2.715,48.492,49.353,34,Can't say,Unlikely,Very Unlikely,Unlikely,Unlikely,Very Unlikely,Very Unlikely,3.775,22.798,32.075,15,Yes,Moderate,I'd politely pass.,Neither Agree nor Disagree,17.038,31.917,35.241,18,Human assisted by AI,24.839,64.927,65.842,36,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,A case heard and decided by the International Criminal Court,A case heard and decided by the International Criminal Court|Evaluating a student's academic performance|Campaign finance or donation limit|Trust of social media platforms,6819a201-0ebf-180c-4208-8a2742775912,68,2,18,1,1,8,8,2,55418,,,Group5_MistrustSocialMedia|Group3_ImmigrantsOrigins|Group1_CampaignFinance|Group14_Authoritarianism&AmericanRights|Group7_JunkfoodAds|Group13_AITrust,g2-field-study|g2-field-work|g2q1b|g2q2|G2-Timer,G1-Timer|G1_control|G1_Q2_allgroups|G1_Q3_allgroups|G1_Q4_allgroups,G3-Timer|g3-1x1|g3q1|g3q3|g3q2-attention check,G5_timer|G5_facebook|G5q1_trust_headline|G5q2_successful|G5q3_trust_platforms,G7_timer|G7_control|G7Q1|G7Q2|G7Q3|G7Q4,G13-Timer|G13_HighRisk_2|G13_DV,G14_timer|G14_Treatment|G14_Axis1_IOcooperat|G14_Axis1_sovereignt|G14_Axis2_democracy|G14_Axis2_strongman|G14_Axis2_majority|G14_Axis2_constituti
